id;name;category;source;description;formula;unit;variables;parameters
PA.01.01;Charge animale instantanée;Pastoralisme;Dutilly-Diane et al. (2007), Journal of Arid Environments;"Nombre d'unités de bétail (UBT) par hectare de pâturage disponible. Indicateur clé de pression sur les ressources fourragères.
";CA = (Nombre UBT) / (Surface pâturable);UBT/ha;nombre_ubt:Troupeau:Effectif converti en unité de bétail tropical:UBT|surface_paturage:Espace:Surface accessible au pâturage:ha;facteur_saison:Système:Coefficient saisonnier d'ajustement:coefficient:
PA.02.01;Taux de rotation des pâturages;Pastoralisme;Vallentine (2001), Grazing Management;"Fréquence de rotation des troupeaux entre parcelles. Critique pour la durabilité des parcours.
";TR = (Nombre rotations) / (Période analysée);rotations/an;nombre_rotations:Troupeau:Nombre de déplacements entre parcelles:n|periode_analyse:Système:Période d'observation:jours;duree_min_sejour:Parcelle:Durée minimale entre deux rotations:jours:
AE.01.01;Indice de diversité culturale;Agroécologie;Altieri (1999), Agroecology;"Mesure la diversité des cultures selon l'indice de Shannon. Corrélé à la résilience du système.
";IDC = -Σ(p_i * ln(p_i));n.d.;p_i:Parcelle:Proportion de la culture i dans la rotation:[0-1];seuil_diversite:Système:Valeur cible pour une diversité optimale:indice:
PA.03.01;Taux de charge soutenable;Pastoralisme;Sandford (1983), Management of Pastoral Development;"Capacité de charge maximale sans dégradation à long terme. Basé sur la productivité fourragère.
";TCS = (Production fourragère annuelle) / (Consommation UBT);UBT/ha/an;production_fourrage:Parcelle:Biomasse fourragère produite annuellement:kg MS/ha|consommation_ubt:Troupeau:Besoin annuel moyen par UBT:kg MS/UBT;facteur_resilience:Ecosystème:Coefficient de résilience des parcours:coefficient:na
AE.02.01;Taux de couverture végétale;Agroécologie;FAO (2021), Voluntary Guidelines for Soil Conservation;"Pourcentage de sol couvert par la végétation vivante ou morte. Réduit l'érosion et améliore l'infiltration.
";TCV = (Surface couverte) / (Surface totale) * 100;%;surface_couverte:Parcelle:Surface sous couvert végétal:ha|surface_totale:Parcelle:Surface totale de l'unité d'observation:ha;seuil_optimal:Système:Couverture végétale cible:%:na
PA.04.01;Dépendance aux aliments externes;Pastoralisme;Hiernaux et al. (2016), Pastoralisme en Afrique;"Proportion des besoins alimentaires du bétail couverte par des achats externes. Indicateur de vulnérabilité économique.
";DAE = (Quantité aliments achetés) / (Besoins totaux) * 100;%;aliments_achetes:Troupeau:Quantité d'aliments complémentaires acquis:kg MS|besoins_totaux:Troupeau:Requête alimentaire annuelle du troupeau:kg MS;prix_moyen_aliment:Marché:Coût moyen des aliments achetés:€/kg MS:na
AE.03.01;Indice de connectivité biologique;Agroécologie;Burel & Baudry (2003), Landscape Ecology;"Mesure la connectivité des habitats naturels dans la matrice agricole. Essentiel pour la biodiversité fonctionnelle.
";ICB = Σ(Superficie corridor_i * Pondération_i);ha.pts;superficie_corridor:Paysage:Superficie du corridor écologique:ha|ponderation_ecologique:Paysage:Valeur de connectivité spécifique à l'habitat:points;seuil_connectivite:Paysage:Seuil minimum pour une connectivité fonctionnelle:sans dimension:na
PA.05.01;Productivité laitière spécifique;Pastoralisme;Corniaux et al. (2014), Revue Elevage Méd. Vét. Pays Trop.;"Production laitière rapportée au nombre de femelles en lactation. Indicateur clé de performance zootechnique.
";PLS = (Production laitière annuelle) / (Nombre femelles);L/femelle/an;production_laitiere:Troupeau:Volume total de lait produit sur l'année:L|nombre_femelles:Troupeau:Effectif moyen des femelles en lactation:têtes;duree_lactation:Troupeau:Période standard de lactation:jours:na
AE.04.01;Taux de matière organique du sol;Agroécologie;Lal (2020), Soil Science Society of America Journal;"Concentration en matière organique dans les 20 premiers cm de sol. Proxy de la santé des sols.
";MOS = (Poids MO) / (Poids sol sec) * 100;%;poids_matiere_organique:Sol:Poids sec de la matière organique:g|poids_sol_sec:Sol:Poids total du sol séché à l'étuve:g;profondeur_prelevement:Sol:Profondeur standard d'échantillonnage:cm:na
PA.06.01;Indice de mobilité pastorale;Pastoralisme;Niamir-Fuller (1999), Managing Mobility in African Rangelands;"Distance annuelle moyenne parcourue par le troupeau. Clé pour l'accès aux ressources.
";IMP = (Distance totale) / (Nombre jours);km/jour;distance_parcourue:Troupeau:Distance totale annuelle de transhumance:km|jours_paturage:Troupeau:Nombre de jours de pâturage effectifs:jours;facteur_saison:Climat:Coefficient d'ajustement saisonnier:sans dimension:na
AE.05.01;Efficience d'utilisation de l'eau;Agroécologie;Rockström et al. (2007), Agricultural Water Management;"Biomasse produite par unité d'eau consommée. Critique en zones arides.
";WUE = (Production biomasse) / (ETR);kg/m³;production_biomasse:Culture:Biomasse aérienne sèche produite:kg/ha|evapotranspiration:Climat:Evapotranspiration réelle de la culture:mm;coefficient_culture:Culture:Coefficient spécifique à l'espèce cultivée:sans dimension:na
PA.07.01;Taux de renouvellement du troupeau;Pastoralisme;Lesnoff et al. (2012), Dynamic of Livestock Systems;"Proportion d'animaux remplacés annuellement. Indicateur de gestion démographique.
";TRT = (Nombre sorties) / (Effectif moyen) * 100;%/an;nombre_sorties:Troupeau:Animaux vendus ou décédés:têtes|effectif_moyen:Troupeau:Effectif moyen annuel du troupeau:têtes;taux_optimal:Troupeau:Valeur cible pour une gestion durable:%:na
AE.06.01;Indice d'autonomie en intrants;Agroécologie;Gliessman (2015), Agroecology;"Part des intrants produits sur l'exploitation. Mesure la circularité du système.
";IAI = (Intrants internes) / (Intrants totaux) * 100;%;intrants_internes:Système:Intrants produits sur l'exploitation:kg|intrants_totaux:Système:Consommation totale d'intrants:kg;seuil_autonomie:Système:Niveau minimal pour une exploitation durable:%:na
PA.08.01;Pression pastorale équivalente;Pastoralisme;Bourn & Wint (1994), ODI Pastoral Development Network;"Charge animale ajustée par la productivité des parcours. Permet des comparaisons intersites.
";PPE = (UBT) / (Indice productivité);UBT/ha/indice;unite_betail_total:Troupeau:Nombre d'unités de bétail tropical:UBT|indice_productivite:Parcours:Productivité fourragère du parcours:kg MS/ha;capacite_charge:Parcours:Charge animale soutenable à long terme:UBT/ha:na
AE.07.01;Indice de spécialisation parcellaire;Agroécologie;Bennett et al. (2012), Landscape Ecology;"Nombre moyen de fonctions par parcelle (production, biodiversité...). Inverse de la spécialisation.
";ISP = Σ(Fonctions_i) / (Nombre parcelles);fonctions/parcelle;nombre_fonctions:Parcelle:Fonctions identifiées par parcelle:nombre|nombre_parcelles:Système:Parcelles totales dans l'exploitation:nombre;poids_fonction:Système:Coefficient d'importance relative des fonctions:sans dimension:na
CA.01.01;Tendance d'évolution de la pluviométrie;Environnemental;Données MétéoFrance 2023;"Analyse l'évolution de la pluviométrie dans le territoire. Indicateur de caractérisation de la vulnérabilité climatique. Valeurs négatives = baisse, positives = hausse.
";CA.01.01 = a * CA.01.01 + (pluviométrie - pluviométrie-1);% de variation annuelle;pluviométrie:Climat:La quantité de pluie annuelle cette année:mm/an|pluviométrie-1:Climat:La quantité de pluie annuelle l'année précédente (n-1):mm/an;a:Climat:Facteur d'amortissement du passé:sans:na
CA.02.01;Taux de croissance annuelle de la population;Démographique;INSEE 2022;"Croissance démographique dans les terroirs sur 30 ans. Indicateur de pression anthropique (2,6% aux derniers calculs).
";Donnée directe (pas de calcul);%;;taux-croissance:ActeurIndividuel:Taux de croissance démographique du foyer:%
